,Course Name,State,County,City,Street,Zip Code,Website,Email,Phone,Green Fees Weekend,Green Fees Weekday,Year Built,Annual Rounds,Manager,Club Pro,Superintendant,Guest Policy,Holes
14901,Radisson Greens Golf Course,NY,Onondaga,Baldwinsville,8055 Potter Rd,13027-1517,,radgreens@aol.com,315-638-0092,$34.00,$25.00,1976,"30,000 (estimated)",Ron Koelsch,Ron Koelsch,Jay Yanchisin,Open,18
14902,Seneca Golf Club,NY,Onondaga,Baldwinsville,State Fair Blvd,13027-9778,,,315-635-7571,$15.00,$15.00,1950,"33,500 (estimated)",Dan Michael,Brian Smith,Mike Riley,Open,9
14903,Ballston Spa Country Club,NY,Saratoga,Ballston Spa,Route 67,12020-,,skippy@pga.com,518-885-7935,$45.00,$45.00,1925,"27,000 (estimated)",Todd Manderson,Todd Manderson,Steve Solsky,Open,18
14904,Pioneer Hills Golf Course,NY,Saratoga,Ballston Spa,3230 Ballston-Galway Rd,12020-2065,http://www.pioneerhills.golffan.com,pioneerhills@golffan.com,518-885-7000,$24.00,$20.00,1995,"12,000 (estimated)","Alan Hills, Jr.","Alan Hills, Jr.","Alan Hills, Jr.",Open,18
14905,Batavia Country Club,NY,Genesee,Batavia,7909 Batavia-Byron Rd,14020-,http://www.bataviacc.com,info@bataviacc.com,716-343-7600,$19.00,$17.00,1962,"23,000 (estimated)",Chris Pompa,Chris Pompa,Nick Pompa,Open,18
14906,East North Course at Terry Hills Golf Course,NY,Genesee,Batavia,5122 Clinton St Rd,14020-,http://www.terryhills.com,golf@terryhills.com,716-343-0860,$40.00,$23.00,1931,N/A,Nick Rotondo,N/A,Brian Conn,Open,27
14907,East South Course at Terry Hills Golf Course,NY,Genesee,Batavia,5122 Clinton St Rd,14020-,,golf@terryhills.com,716-343-0860,$40.00,$23.00,1985,N/A,Nick Rotondo,N/A,Brian Conn,Open,27
14908,North South Course at Terry Hills Golf Course,NY,Genesee,Batavia,5122 Clinton St Rd,14020-,http://www.terryhills.com,golf@terryhills.com,716-343-0860,$40.00,$23.00,1996,N/A,Nick Rotondo,N/A,Brian Conn,Open,27
14909,Bath Country Club,NY,Steuben,Bath,May St,14810-1032,,,607-776-5043,$22.00,$22.00,1953,N/A,David Thompson,David Thompson,Joe Baran,Open,18
14910,Southward Ho Country Club,NY,Suffolk,Bay Shore,Montauk Hwy,11706-,http://www.southwardho.com,,516-665-1753,$50.00,$40.00,1923,N/A,Paul O'Donohue,Mike Darrell,William Bodemer,Closed,18
14911,Clearview Golf Course,NY,Queens,Bayside,202-12 Willets Point Blvd,11360-1038,,,718-229-2570,$34.00,$31.00,1925,"47,000 (estimated)",James Hong,James Hong,Frank Marra,Open,18
14912,Southern Dutchess Country Club,NY,Dutchess,Beacon,53 N Ave,12508-,,,914-831-0762,$32.00,$27.00,1902,N/A,Tony DeStefano,Tony DeStefano,Tony DeStefano,Closed,9
14913,Circle R Golf Course,NY,Chemung,Beaver Dams,579 State Route 414,14812-9378,,,607-936-6608,$14.00,$14.00,1963,N/A,Al & Kathy Russo,N/A,Al & Kathy Russo,Open,9
14914,Bedford Golf & Tennis Club,NY,Westchester,Bedford,Route 22,10506-,,,914-234-3325,$50.00,$40.00,1892,"13,000 (estimated)",Tony Chateauvert,Tony Chateauvert,Robert Nielsen,Closed,18
14915,GlenArbor Golf Club,NY,Westchester,Bedford Hills,234 Bedford Center Rd,10507-2539,,,914-241-0700,N/A,N/A,1996,N/A,Ian Fetigan,Carl Alexander,"Ken Benoit, Jr.",Closed,18
14916,Belden Hill Golf Club,NY,Broome,Belden,1820 Nys Route 7,13787-,,,607-693-3257,$15.00,$12.00,1998,N/A,Stan Lisk,Stan Lisk,Alec Reed,Open,18
14917,East Course at Six-S Golf Course,NY,Allegany,Belfast,Route 19 Transit Bridge Rd,14711-,,,716-365-2201,$25.00,$22.00,1996,"31,000 (estimated)",Marsha Short,Marsha Short,Larry Short,Open,36
14918,West Course at Six-S Golf Course,NY,Allegany,Belfast,Route 19 Transit Bridge Rd,14711-,,,716-365-2201,$25.00,$22.00,1960,"31,000 (estimated)",Marsha Short,Marsha Short,Larry Short,Open,36
14919,Bellport Country Club,NY,Suffolk,Bellport,S Country Rd,11713-,,,516-286-7206,$36.00,$31.00,1899,N/A,Leo McMahon,Leo McMahon,Bob Furchett,Closed,18
14920,Bemus Point Golf Club,NY,Chautauqua,Bemus Point,72 Main St,14712-9306,,,716-386-2893,$15.00,$14.00,1920,"18,000 (estimated)",Terry Hall,Terry Hall,Terry Hall,Open,9
14921,Grandview Farms Golf Course,NY,Tioga,Berkshire,Hartwell Rd & Squedunk Rd,13736-,,,607-657-2619,$13.00,$11.00,1990,"15,000 (estimated)",Howard Coon,Howard Coon,Brian Coon,Open,18
14922,Island Glen Country Club,NY,New York,Bethel,Route 17b,12720-,,,914-583-1010,$20.00,$15.00,1960,"10,000 (estimated)",Ralph Pastoe,Ralph Pastoe,Arthur Burke,Open,9
14923,Pines Bitter Creek Course at Willowcreek Golf Club,NY,Chemung,Big Flats,3069 Route 352,14814-,,wcgolfclub@aol.com,607-562-8898,$19.00,$19.00,1974,"65,000 (estimated)",Kathy Tremaine,John Lane,Joe Champion,Open,27
14924,Willows Course at Willowcreek Golf Club,NY,Chemung,Big Flats,3069 Route 352,14814-,,wcgolfclub@aol.com,607-562-8898,$19.00,$19.00,1976,"65,000 (estimated)",Kathy Tremaine,John Lane,Joe Champion,Open,27
14925,Dimmock Hill Golf Course,NY,Broome,Binghamton,638 Dimmock Hill Rd,13905-6039,,info@dimmockhill.com,607-729-5511,$11.50,$9.50,1970,"40,000 (estimated)",Michael Senio,Michael Senio,Larry Cohenno,Open,18
14926,Ely Park Municipal Golf Course,NY,Broome,Binghamton,67 Ridge St,13905-3712,,,607-772-7231,$15.00,$13.00,1933,"24,000 (estimated)",Rick Mauro,Rick Mauro,Paul Palmer,Open,18
14927,Vestal Hills Country Club,NY,Broome,Binghamton,Webb Rd,13903-,,,607-723-7658,$34.00,$34.00,1950,N/A,Bob Steiner,Bob Steiner,Dave Duncan,Closed,18
14928,White Pines Golf Course,NY,Jefferson,Black River,31383 County Route 143,13612-2197,,,315-773-3744,$11.00,$11.00,1987,"50,000 (estimated)",Virginia Decker,Virginia Decker,Bill Decker,Open,9
14929,Evergreen Golf Course,NY,Allegany,Bolivar,8212 Halls Rd,14715-,,,716-928-1270,$16.00,$14.00,1999,"34,000 (estimated)",Ralph Johnson,Ralph Johnson,Lee Johnson,Open,18
14930,Sagamore Resort & Golf Club,NY,Warren,Bolton Landing,Federal Hill Rd,12814-,,reserve@thesagamore.com,518-644-9400,$130.00,$115.00,1928,N/A,Tom Smack,Tom Smack,Joe Tennyson,Open,18
14931,Woodgate Pines Golf Club,NY,Oneida,Boonville,Woodgate Dr,13309-,,,315-942-5442,$18.00,$18.00,1928,N/A,Dan Czepiel,Dan Czepiel,Stan Czepiel,Open,18
14932,Harris Hill Golf Center,NY,Erie,Bowmansville,5360 Genesee St,14026-1044,,,716-684-4653,$10.00,$10.00,1989,"19,000 (estimated)",Marge Wilkinson,Marge Wilkinson,Keith Wilkinson,Open,10
14933,Brantingham Golf Club,NY,Lewis,Brantingham,Brantingham Rd,13312-,,,315-348-8861,$14.00,$14.00,1910,N/A,John Bradish,John Bradish,Mike Bradish,Open,18
14934,Brentwood Country Club,NY,Suffolk,Brentwood,100 Pennsylvania Ave,11717-4206,,,631-436-6060,$28.00,$23.00,1900,"50,000 (estimated)",Rich Loughlin,Rich Loughlin,Joe Graham,Open,18
14935,Skyline Golf & Country Club,NY,Onondaga,Brewerton,9113 Brewerton Rd,13029-9670,,,315-699-5338,$16.00,$14.00,1965,N/A,Peter Kite,Peter Kite,Pete Kite Jr.,Open,18
14936,Morefar Back O Beyond Golf Club,NY,Putnam,Brewster,Federal Hill Rd,10509-,,,845-279-5086,N/A,N/A,1964,N/A,Ans DeBeus,Tom Kochan,Mike Maffei,Closed,18
14937,Vails Grove Golf Course,NY,Putnam,Brewster,230 Peach Lake Rd,10509-,,,914-669-5721,$23.00,$23.00,1929,N/A,Ed Vreeland,Ed Vreeland,Robert Diaz,Open,9
14938,Trump National Golf Club,NY,Westchester,Briarcliff Manor,339 Pine Rd,10510-,,,914-944-0900,$95.00,$65.00,1923,N/A,Carolyn Kepcher,Cary Stephan,Blake Halderman,Open,18
14939,Atlantic Golf Club,NY,Suffolk,Bridgehampton,Scuttle Hole Rd,11932-,,,516-537-1818,$75.00,$75.00,1992,N/A,James Mathers,Rick Hartmann,Bob Ranum,Closed,18
14940,Bridgehampton Golf Club,NY,Suffolk,Bridgehampton,Ocean Rd & Sagg Rd,11932-,,,516-537-3792,$22.00,$22.00,1896,N/A,John Bowley,John Bowley,Scott Bertrand,Closed,9
14941,Poxabogue Golf Course,NY,Suffolk,Bridgehampton,Montauk Hwy,11932-,,,516-537-0025,$50.00,$30.00,1962,"25,000 (estimated)",Scott Terilli,Scott Terilli,Tim Doubrava,Open,9
14942,East Course at Rogues Roost Golf & Country Club,NY,Onondaga,Bridgeport,Route 31,13030-0430,http://www.roguesroost.com,rrgolf@i2eyenet.com,315-633-9406,$18.00,$18.00,1996,N/A,Bill Galloway,N/A,Dave Nieman,Open,36
14943,West Course at Rogues Roost Golf & Country Club,NY,Onondaga,Bridgeport,Route 31,13030-0430,,rrgolf@i2eyenet.com,315-633-9406,$20.00,$20.00,1964,N/A,Bill Galloway,N/A,Dave Nieman,Open,36
14944,Brockport Country Club,NY,Orleans,Brockport,3739 County Line Rd,14420-,,aburklew@rochester.rr.com,716-638-6486,$25.00,$17.50,1971,"25,000 (estimated)",Tim Burklew,Tim Burklew,Tim Burklew,Open,18
14945,Cardinal Creek Golf Club,NY,Monroe,Brockport,7061 Ridge Rd W,14420-,,,716-637-4302,$12.00,$12.00,1989,"31,000 (estimated)",Tracy Nichols,Steve O'Neill,Brad Schneider,Open,18
14946,Emerald   Witch Course at Deerfield Country Club,NY,Monroe,Brockport,100 Craig Hill Dr,14420-,,,716-392-8080,$25.00,$19.00,1957,N/A,Donetta Plyler,Vic Ross,Shawn Doty,Open,27
14947,Emerald   Wizard Course at Deerfield Country Club,NY,Monroe,Brockport,100 Craig Hill Dr,14420-,,,716-392-8080,$25.00,$19.00,1961,N/A,Donetta Plyler,Vic Ross,Shawn Doty,Open,27
14948,Witch   Witch Course at Deerfield Country Club,NY,Monroe,Brockport,100 Craig Hill Dr,14420-,,,716-392-8080,$25.00,$19.00,1957,N/A,Donetta Plyler,Vic Ross,Shawn Doty,Open,27
14949,Wizard   Witch Course at Deerfield Country Club,NY,Monroe,Brockport,100 Craig Hill Dr,14420-,,,716-392-8080,$25.00,$19.00,1957,N/A,Donetta Plyler,Vic Ross,Shawn DOty,Open,27
14950,Mosholu Golf Course & Driving Range,NY,Bronx,Bronx,3700 Jerome Ave,10467-1051,,,718-655-9164,$25.50,$23.00,1904,"15,000 (estimated)",Paul Giordano,Paul Giordano,Paul Giordano,Open,9
14951,Pelham Bay Course at Pelham Split Rock Golf Club,NY,Bronx,Bronx,870 Shore Rd,10464-1024,,,718-885-1258,$27.50,$25.00,1905,N/A,James Dolan,N/A,John Dillon,Open,36
14952,Split Rock Course at Pelham Split Rock Golf Club,NY,Bronx,Bronx,870 Shore Rd,10464-1024,,,718-885-1258,$27.50,$25.00,1934,N/A,James Dolan,N/A,John Dillon,Open,36
14953,Van Cortlandt Park Golf Course,NY,Bronx,Bronx,Van Cortlandt Park S & Bailey Ave,10471-,,sales@americangolf.com,718-543-4595,$42.50,$38.50,1885,"63,500 (estimated)",Russell Newman,N/A,Hidago Nagashima,Open,18
14954,Siwanoy Country Club,NY,Westchester,Bronxville,Pondfield Rd,10708-,,,914-337-8858,$90.00,$60.00,1901,"20,000 (estimated)",Robert Kasara,Grant Turner,Dave Mahoney,Closed,18
14955,Dyker Beach Golf Course,NY,Kings,Brooklyn,7th Ave & 86th St,11228-3308,,,718-836-9722,$21.00,$19.00,1897,"85,546 (estimated)",David Nation,John Vuono,Frank Carcaterra,Open,18
14956,Marine Park Golf Course,NY,Kings,Brooklyn,2880 Flatbush Ave,11234-7007,,,718-338-7113,$34.00,$32.00,1964,"90,000 (estimated)",Bruce Schulk,Bruce Schulk,Al Huemmer,Open,18
14957,Tam OShanter Club,NY,Nassau,Brookville,Fruitledge Rd,11545-,,tamos2@tamoshanterclub.com,516-626-1980,$55.00,$55.00,1963,"30,000 (estimated)",Steven Vando,Mark Brown,Bob Langhauser,Closed,18
14958,Brunswick Greens,NY,Rensselaer,Brunswick,Route 7,12180-6637,,,518-279-3848,$15.00,$15.00,1993,"12,000 (estimated)",Richard & Jamie Smith,Richard & Jamie Smith,Richard & Jamie Smith,Open,9
14959,Cazenovia Golf Course,NY,Erie,Buffalo,1 Willink Ave,14210-,,,716-825-9811,$13.00,$12.00,1920,N/A,N/A,N/A,Gary Kelchin,Open,9
14960,Delaware Park Course,NY,Erie,Buffalo,Delaware Park,14216-,,,716-851-5806,$13.00,$12.00,,"37,000 (estimated)",Daniel Durawa,Daniel Durawa,Daniel Durawa,Open,18
14961,Caledonia Country Club,NY,Livingston,Caledonia,303 Park Pl,14423-,,,716-538-9956,$27.00,$21.00,1966,"32,000 (estimated)",Scott Weitzel,Bob King,Ernie Baker,Closed,18
14962,Villa Roma Resort,NY,Sullivan,Callicoon,340 Villa Roma Rd,12723-,,,914-887-5097,$58.00,$50.00,1987,"22,000 (estimated)",Matt Kleiner,Matt Kleiner,Steve Luty,Open,18
14963,Calverton Links,NY,Suffolk,Calverton,149 Edwards Ave,11933-,,,516-369-5200,$32.00,$30.00,1994,N/A,Jim Thompson,Jim Thompson,Bill Nohejl,Open,9
14964,Camillus Country Club,NY,Onondaga,Camillus,5690 Bennetts Corners Rd,13031-8616,,dsgovend@mailbox.syr.edu,315-672-3770,$18.00,$15.00,1962,"28,000 (estimated)",Jivi Govender,Dave Ferris,Jeff Parlin,Open,18
14965,Pine Grove Health & Country Club,NY,Onondaga,Camillus,3185 Milton Ave,13031-,,,315-672-9272,$15.00,$12.00,1920,N/A,Kay Coon,Dick Maione,Frank Szczech Jr,Open,18
14966,West Hill Golf & Croquet Club,NY,Onondaga,Camillus,2500 W Genesee Tnpk,13031-9610,,,315-672-8677,$13.00,$13.00,1964,N/A,Jed Rotella,Jed Rotella,Jed Rotella,Open,18
14967,Westvale Golf Course,NY,Onondaga,Camillus,100 Golfview Dr,13031-1813,,,315-487-0130,$16.00,$13.00,1928,N/A,Thomas Hewitt,Thomas Hewitt,Mark Mogish,Open,18
14968,Otterkill Golf & Country Club,NY,Orange,Campbell Hall,100 Otter Rd,10916-,http://www.otterkillcountryclub.com,info@otterkillcountryclub.com,845-427-2301,$40.00,$40.00,1957,N/A,John Schmoll,John Schmoll,Tom Lambert,Closed,18
14969,Canajoharie Country Club,NY,Montgomery,Canajoharie,Route 163,13317-3315,,,518-673-8183,$18.00,$14.00,1936,N/A,Mark Lane,Mark Lane,Ronnie Bowerman,Open,18
14970,Bristol Harbour Golf Club,NY,Ontario,Canandaigua,5500 Seneca Point Rd,14424-,,lstewart@bristolharbour.com,716-396-2460,$55.00,$46.00,1972,"27,000 (estimated)",Greg Mulhern,Joe Lusardi,Greg Radak,Open,18
14971,Canandaigua Country Club,NY,Ontario,Canandaigua,1 Fallbrook Park,14424-,,,716-394-4370,$25.00,$25.00,1922,"19,000 (estimated)",Charlie Cross,Charlie Cross,Tom Stewart,Reciprocal,9
14972,Center Pointe Golf & Country Club,NY,Ontario,Canandaigua,2231 Brickyard Rd,14424-,,,716-924-5346,$22.00,$15.00,,"10,000 (estimated)",Jim Buchanan,Jim Buchanan,David Robinson,Open,18
14973,VA Medical Center Golf Course,NY,Ontario,Canandaigua,400 Fort Hill Ave,14424-,,,716-394-0040,$9.00,$9.00,1952,"10,000 (estimated)",Dave Krueger,Dave Krueger,Dennis Cunningham,Closed,9
14974,Casolwood Golf Course,NY,Madison,Canastota,New Boston Rd,13032-,,,315-697-9164,$14.00,$14.00,1972,"40,000 (estimated)",Dick Quick,Dick Quick,Mike Paige,Open,18
14975,Catatonk Golf Club,NY,Tioga,Candor,71 Golf Club Rd,13743-2020,,,607-659-4600,$22.00,$20.00,1966,N/A,Dennis Ulrick,Dennis Ulrick,Harry Hart,Open,18
14976,Partridge Run Golf & Country Club,NY,Saint Lawrence,Canton,70 Sullivan Dr,13617-3860,,nlawrenc@northnet.org,315-386-4444,$18.00,$15.00,1995,"20,000 (estimated)",Peter Richardson,Peter Richardson,Skip Wason,Open,18
14977,St. Lawrence University Golf Course,NY,Saint Lawrence,Canton,100 E Main St Route 11,13617-,,,315-386-4600,$24.00,$20.00,1900,"30,000 (estimated)",Peter Richardson,Peter Richardson,Jim Hennessey,Open,18
14978,Fairways Meadows Course at Centennial Golf Club,NY,Putnam,Carmel,185 John Simpson Rd,10512-2027,http://www.centennialgolf.com,info@centennialgolf.com,845-225-5700,$125.00,$95.00,1997,N/A,David Leibowits,Jim Wahl,Will Heintz,Open,27
14979,Lakes Fairways Course at Centennial Golf Club,NY,Putnam,Carmel,185 John Simpson Rd,10512-2027,,info@centennialgolf.com,845-225-5700,$125.00,$95.00,1997,N/A,David Leibowits,Jim Wahl,Will Heintz,Open,27
14980,Lakes Meadows Course at Centennial Golf Club,NY,Putnam,Carmel,185 John Simpson Rd,10512-2027,,info@centennialgolf.com,845-225-5700,$125.00,$95.00,1997,N/A,David Leibowits,Jim Wahl,Will Heintz,Open,27
14981,Sedgewood Club,NY,Putnam,Carmel,Route 301,10512-,,,914-225-5227,$20.00,$20.00,1920,N/A,Clarence Fogal,Clarence Fogal,Clarence Fogal,Reciprocal,9
14982,Nick Stoner Municipal Golf Course,NY,Fulton,Caroga Lake,1803 State Hwy 10,12032-5317,,,518-835-4220,$16.00,$14.00,1929,"25,000 (estimated)",Steve Jennings,Steve Jennings,Steve Jennings,Open,18
14983,Cassadaga Lakes Country Club,NY,Chautauqua,Cassadaga,55 Frisbee Rd,14718-9622,,,716-595-3003,$17.00,$16.00,1934,N/A,Al Welle,Al Welle,Al Welle,Open,9
14984,Pheasant Hollow Golf Club,NY,Rensselaer,Castleton,2670 Phillips Rd,12033-3714,,,518-479-4653,$14.00,$13.00,1961,"20,000 (estimated)",Joe Bove,Joe Bove,Joe Bove,Open,9
14985,Private Course at Evergreen Country Club,NY,Rensselaer,Castleton On Hudson,1400 Schuurman Rd,12033-,http://www.evergreencountryclub.com,info@evergreencountryclub.com,518-477-6224,$22.00,$22.00,1969,"30,000 (estimated)",Joe Bove,Joe Bove,Tony Ioboine,Open,36
14986,Public Course at Evergreen Country Club,NY,Rensselaer,Castleton On Hudson,1400 Schuurman Rd,12033-,,info@evergreencountryclub.com,518-477-6224,$15.00,$13.00,1960,"30,000 (estimated)",Joe Bove,Joe Bove,Tony Ioboine,Open,36
14987,Cato Golf Club,NY,Cayuga,Cato,11181 State Route 34,13033-,,trishia@catogolfclub.com,315-626-2291,$15.00,$15.00,1931,N/A,Frank Rich,N/A,Frank Rich,Open,9
14988,Catskill Golf Club,NY,Greene,Catskill,27 Brooks Ln,12414-,,,518-943-0302,$35.00,$20.00,1927,"32,500 (estimated)",Keith Sprenger,Keith Sprenger,Bill Spence,Open,18
14989,Caughdenoy Creek Country Club,NY,Onondaga,Caughdenoy,County Route 33,13036-,,,315-676-4653,$15.00,$15.00,1994,N/A,Fran Albanesc,Fran Albanesc,Rebecca Richer,Open,18
14990,Indian Head Golf Course,NY,Cayuga,Cayuga,Rd #1 Route 5/20,13034-3325,,,315-253-6812,$11.25,$10.25,1977,N/A,Tony Ciulla,Tony Ciulla,Tony Ciulla,Open,9
14991,Cazenovia Country Club,NY,Madison,Cazenovia,3711 Number Nine Rd,13035-,,,315-655-8880,$20.00,$20.00,1965,N/A,Helen Gardener,Christopher Carpenter,Ted Starratt,Reciprocal,18
14992,Heatherwood Golf Club,NY,Suffolk,Centereach,303 Arrowhead Ln,11720-,,,516-473-9000,$28.00,$25.00,1960,N/A,Robert Freund,Robert Freund,John Wolkiewicz,Open,18
14993,Gull Haven Golf Club,NY,Suffolk,Central Islip,Gull Haven Dr,11722-,,,516-436-6059,$18.00,$15.00,1930,"26,000 (estimated)",Doug Jansen,Doug Jansen,Joe Gran,Open,9
14994,Riverside Country Club,NY,Oswego,Central Square,647 County Route 37,13036-3122,,,315-676-7714,$10.00,$10.00,1967,N/A,Bill Ryder,Bill Ryder,Ned Green,Open,18
14995,Central Valley Golf Club,NY,Orange,Central Valley,206 Smith Clove Rd,10917-3661,,,845-928-6924,$35.00,$25.00,1922,N/A,Bonnie Banse,John Banse,Peter Schmidt,Open,18
14996,The Hill Course at Chautauqua Golf Club,NY,Chautauqua,Chautauqua,Route 394,14722-,,,716-357-6211,$40.00,$32.00,1989,"70,000 (estimated)",N/A,N/A,Trevor Burlingame,Open,36
14997,The Lake Course at Chautauqua Golf Club,NY,Chautauqua,Chautauqua,Route 394,14722-,,,716-357-6211,$40.00,$32.00,1910,"70,000 (estimated)",Stan Marshaus,Stan Marshaus,Trevor Burlingame,Open,36
14998,Chenango Commons Golf Course,NY,Broome,Chenango Bridge,1 Kattelville Rd,13745-,,,607-648-2380,$10.00,$10.00,1967,N/A,James McArdle,N/A,Russ Jacobs,Open,9
14999,Chenango Valley State Golf Course,NY,Broome,Chenango Forks,153 State Park Rd,13746-,,,607-648-9804,$21.00,$17.00,1967,"46,500 (estimated)",Mickey Scott,Mickey Scott,Larry Specchio,Open,18
15000,Green Mansions Golf Club,NY,Warren,Chestertown,207 Darrowsville Rd,12817-,,mansionsgolf@yahoo.com,518-494-7222,$18.00,$18.00,1930,"10,000 (estimated)",Martha Walker,John Esposito,Ron Walker,Open,9
15001,Skyridge Golf Course,NY,Madison,Chittenango,Salt Springs Rd,13037-1416,,,315-687-6900,$12.00,$10.00,,"33,000 (estimated)",Bruce Tuttle,Bruce Tuttle,Bruce Tuttle,Open,9
15002,Woodcrest Golf Club,NY,Madison,Chittenango,Cheese Factory Rd,13037-,,woodcrest@dreamscape.com,315-687-3086,$16.00,$16.00,1991,"22,000 (estimated)",Richard Winstead,Richard Winstead,Joseph VanVerwerken,Open,18
15003,Eighteen Hole Course at Churchville Golf Course,NY,Monroe,Churchville,643 Kendall Rd,14428-,,,716-293-0680,$13.00,$12.00,1936,"60,000 (estimated)",Jack Tindale,Jack Tindale,Mike Wolberg,Open,27
15004,Nine Hole Course at Churchville Golf Course,NY,Monroe,Churchville,643 Kendall Rd,14428-,,,716-293-0680,$13.00,$12.00,1967,"60,000 (estimated)",Jack Tindale,Jack Tindale,Mike Wolberg,Open,27
15005,Lake Shore Yacht & Country Club,NY,Onondaga,Cicero,6777 Lakeshore Rd,13039-,,,315-699-5118,$35.00,$35.00,N/A,"24,000 (estimated)",Michael George,Michael George,Robert Hodge,Reciprocal,18
15006,Northern Pines Golf Club,NY,Onondaga,Cicero,6735 Route 31,13039-1431,,,315-699-2939,$22.00,$20.00,1999,"16,000 (estimated)",Sandra Panente,Jay Catalano,Dale Peterman,Open,9
15007,Knickerbocker Country Club,NY,Cortland,Cincinnatus,5471 Telephone Rd,13040-,,,,$10.50,$8.50,1960,N/A,Henry Knickerbocker,Todd Knickerbocker,Henry Knickerbocker,Open,9
15008,Brookfield Country Club,NY,Erie,Clarence,5120 Shimerville Rd,14031-,,,716-632-2050,$50.00,$40.00,1927,"30,000 (estimated)",Chip Clover,Chip Clover,Jim Saird,Closed,18
15009,Pine Meadows Golf Club,NY,Erie,Clarence,9820 Greiner Rd,14031-,,,716-741-3970,$14.00,$12.00,1967,"32,000 (estimated)",Ray Koegel,Ray Koegel,Ray Koegel,Open,9
15010,Greenwood Golf Course,NY,Erie,Clarence Center,8499 Northfield Rd,14032-9117,,,716-741-3395,$12.00,$10.00,,N/A,Kevin Bilgeer,Kevin Bilgeer,Kevin Bilgeer,Open,9
15011,Columbia Golf & Country Club,NY,Columbia,Claverack,Route 217,12513-,,,518-851-9894,$20.00,$20.00,1962,"35,500 (estimated)",Thomas Philion,Thomas Philion,Tom Nebling,Closed,18
15012,Clayton Country Club,NY,Jefferson,Clayton,Outer State St,13624-,,,315-686-4242,$16.00,$16.00,1926,N/A,G. K. Girard,G. K. Girard,G. K. Girard,Open,9
15013,C-Way Golf Club,NY,Jefferson,Clayton,37093 Route 12,13624-,,cway@gisco.net,315-686-4562,$18.00,$18.00,1962,"12,000 (estimated)",John Natali,John Natali,John Natali,Open,18
15014,L. A. Golf Club,NY,Jefferson,Clayton,19036 County Rd 3,13624-,,,315-686-3748,$15.00,$15.00,1995,N/A,Kurt Flick,Kurt Flick,Kurt Flick,Open,9
15015,Cedar Lake Club,NY,Herkimer,Clayville,382 Rider Rd,13322-,,,315-839-5838,$25.00,$20.00,1920,N/A,Kevin Reid,Kevin Reid,Bob Ahrendtsen,Reciprocal,18
15016,North Shore Golf Course,NY,Oswego,Cleveland,8062 Maple Flats Rd,13042-0402,,,315-675-8101,$10.00,$8.00,,"24,000 (estimated)",Norm Youmans,Norm Youmans,Norm Youmans,Open,9
15017,Blue White Course at Van Patten Golf Course,NY,Saratoga,Clifton Park,Main St,12065-1004,,,518-877-5400,$23.00,$19.00,1971,"40,000 (estimated)",Gene Stefanacci,David Lewis,David Spas,Open,27
15018,Championship Course at Eagle Crest Golf Club,NY,Saratoga,Clifton Park,1004 Ballston Lake Rd,12065-1550,http://www.eaglecrestgolf.com,,518-877-7082,$27.00,$22.00,1961,N/A,Bill Pulsen,Jim Jeffers,Dave Gordon,Open,27
15019,Clifton Knolls Executive Golf Course,NY,Saratoga,Clifton Park,1 Barney Rd,12065-,,,518-373-1435,$14.00,$12.00,,N/A,Joan Martini,Joan Martini,Fred Porter,Open,9
15020,Par 3 Course at Eagle Crest Golf Club,NY,Saratoga,Clifton Park,1004 Ballston Lake Rd,12065-1550,,,518-877-7082,$10.00,$10.00,1995,N/A,Bill Pulsen,Jim Jeffers,Dave Gordon,Open,27
15021,Red Blue Course at Van Patten Golf Course,NY,Saratoga,Clifton Park,Main St,12065-1004,,,518-877-5400,$21.00,$18.00,1976,"40,000 (estimated)",Gene Stefanacci,David Lewis,David Spas,Open,27
15022,White Red Course at Van Patten Golf Course,NY,Saratoga,Clifton Park,Main St,12065-1004,,,518-877-5400,$23.00,$19.00,1971,"40,000 (estimated)",Gene Stefanacci,David Lewis,David Spas,Open,27
15023,Clifton Springs Country Club,NY,Ontario,Clifton Springs,Townline Rd,14432-9518,,,315-462-9885,$35.00,$30.00,1962,N/A,Mike Judy,Mike Judy,Gary Kuhn,Reciprocal,18
15024,"Birdies, Eagles & Ducks Public Golf Course",NY,Oneida,Clinton,151 Kirkland Ave,13323-1437,,,315-853-4661,$14.00,$14.00,1992,"20,000 (estimated)",Melvin Bonsel,N/A,Melvin Bonsel,Open,9
15025,Hamilton College Golf Course,NY,Oneida,Clinton,198 College Hill Rd,13323-,,,315-859-4372,$20.00,$20.00,,N/A,Betsy Espy,Betsy Espy,Terry Hawkridge,Open,9
15026,Skenandoa Club,NY,Oneida,Clinton,Norton Ave,13323-,,,315-853-6612,$30.00,$20.00,1968,"25,000 (estimated)",John Markley,John Markley,Vincent Vangura,Reciprocal,18
15027,Cobleskill Golf & Country Club,NY,Schoharie,Cobleskill,Route 7,12043-,,,518-234-4045,$24.00,$20.00,1929,N/A,Dal Daily,Dal Daily,Steve Jonhson,Open,18
15028,Van Schaick Island Country Club,NY,Albany,Cohoes,Continental Ave,12047-,,,518-237-6127,$28.00,$22.00,1895,"15,000 (estimated)",Stew Smith,Stew Smith,Tim Holowell,Closed,9
